GERMAN,ENGLISH
ich,I
sie,she
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,What
zu,to
er,he
in,in
ja,Yes
mir,me
mit,with
wie,How
den,the
mich,me
auf,on
dass,that
aber,but
eine,one
hat,has
haben,have
für,for
sind,are
war,was
von,from
wenn,if
ihr,her
nein,no
habe,have
anan,anan
noch,still
nur,only
da,there
dir,you
sich,itself
einen,a
hast,have
dem,dem
gut,good
auch,also
schon,already
als,as
sein,be
mal,just
jetzt,now
ihn,him
dann,then
aus,out of
um,around
im,in the
wird,becomes
meine,mine
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
nichts,nothing
man,man
muss,must
werden,become
will,want
ihnen,them
geht,goes
wo,where
etwas,something
mehr,more
bei,at
bitte,please
immer,always
hab,have
warum,Why
vor,before
los,Come on
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
alle,all
